,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_posterior,-1847.098,16.327,-1875.825,-1836.079,8.144,4.687,6.0,25.0,1.71
log_bulk,-558.377,32.348,-579.514,-497.486,16.131,9.364,6.0,25.0,1.69
log_scrna,-1289.415,48.594,-1378.384,-1260.309,24.27,14.041,6.0,25.0,1.98
log_prior,0.693,0.0,0.693,0.693,0.0,0.0,72000.0,72000.0,
phi[0],0.537,0.013,0.511,0.55,0.006,0.004,7.0,35.0,1.55
phi[1],0.222,0.077,0.132,0.303,0.039,0.004,5.0,24.0,2.19
phi[2],0.241,0.086,0.151,0.355,0.043,0.009,5.0,71.0,2.26
